WARNING:root:Epoch 1, Loss - 0.03592027723789215
WARNING:root:Epoch 2, Loss - 0.03274722769856453
WARNING:root:Epoch 3, Loss - 0.032353490591049194
WARNING:root:Epoch 4, Loss - 0.03171340748667717
WARNING:root:Epoch 5, Loss - 0.031225815415382385
WARNING:root:Epoch 6, Loss - 0.031168458983302116
WARNING:root:Epoch 7, Loss - 0.03105745278298855
WARNING:root:Epoch 8, Loss - 0.030694343149662018
WARNING:root:Epoch 9, Loss - 0.030761338770389557
WARNING:root:Epoch 10, Loss - 0.030539387837052345
WARNING:root:Epoch 11, Loss - 0.03037085384130478
WARNING:root:Epoch 12, Loss - 0.030381927266716957
WARNING:root:Epoch 13, Loss - 0.030028147622942924
WARNING:root:Epoch 14, Loss - 0.0301655326038599
WARNING:root:Epoch 15, Loss - 0.03014231286942959
WARNING:root:Epoch 16, Loss - 0.029785439372062683
WARNING:root:Epoch 17, Loss - 0.02978570945560932
WARNING:root:Epoch 18, Loss - 0.029754744842648506
WARNING:root:Epoch 19, Loss - 0.029978375881910324
WARNING:root:Epoch 20, Loss - 0.029710927978157997
WARNING:root:Epoch 21, Loss - 0.029636552557349205
WARNING:root:Epoch 22, Loss - 0.029737504199147224
WARNING:root:Epoch 23, Loss - 0.02955818735063076
WARNING:root:Epoch 24, Loss - 0.029623035341501236
WARNING:root:Epoch 25, Loss - 0.02941429615020752
WARNING:root:Epoch 26, Loss - 0.029545079916715622
WARNING:root:Epoch 27, Loss - 0.0292554572224617
WARNING:root:Epoch 28, Loss - 0.029591213911771774
WARNING:root:Epoch 29, Loss - 0.029305730015039444
WARNING:root:Epoch 30, Loss - 0.029223311692476273
WARNING:root:Epoch 31, Loss - 0.029571285471320152
WARNING:root:Epoch 32, Loss - 0.029403675347566605
WARNING:root:Epoch 33, Loss - 0.029286937788128853
WARNING:root:Epoch 34, Loss - 0.029495535418391228
WARNING:root:Epoch 35, Loss - 0.029273472726345062
WARNING:root:Epoch 36, Loss - 0.029392726719379425
